market_cap_rank,corp_name,market_cap
235,컴투스,3168.0
236,글로벌텍스프리,3142.0
237,인탑스,3132.0
238,디아이티,3130.0
239,위메이드맥스,3101.0
240,한양디지텍,3087.0
241,네오팜,3016.0
242,동화기업,3013.0
243,휴온스,3013.0
244,진성티이씨,3012.0
245,지노믹트리,2971.0
246,인투셀,2968.0
247,엑스게이트,2966.0
248,한텍,2964.0
249,HLB제약,2962.0
250,한국정보통신,2951.0
251,펨트론,2927.0
252,파인엠텍,2918.0
253,대명에너지,2911.0
254,파트론,2910.0
255,한라IMS,2898.0
256,넥스트바이오메디컬,2893.0
257,한국피아이엠,2891.0
258,케이프,2889.0
259,티엘비,2886.0
260,유바이오로직스,2881.0
261,HEM파마,2858.0
262,골프존홀딩스,2857.0
263,신라젠,2854.0
264,하림,2846.0
265,한스바이오메드,2844.0
266,이지홀딩스,2842.0
267,한국알콜,2828.0
268,AP시스템,2821.0
269,한솔아이원스,2820.0
270,한중엔시에스,2787.0
271,휴메딕스,2785.0
272,제우스,2754.0
273,HLB이노베이션,2747.0
274,한라캐스트,2745.0
275,티로보틱스,2720.0
276,CJ프레시웨이,2713.0
277,나이스정보통신,2698.0
278,제이브이엠,2690.0
279,아이티켐,2684.0
280,삼양컴텍,2658.0
281,이뮨온시아,2656.0
282,엔케이젠바이오텍코리아,2655.0
283,삼양엔씨켐,2640.0
284,JTC,2629.0
285,KG에코솔루션,2628.0
286,KG이니시스,2607.0
287,HLB생명과학,2603.0
288,매일유업,2602.0
289,오픈엣지테크놀로지,2598.0
290,바텍,2565.0
291,엔젤로보틱스,2564.0
292,비덴트,2563.0
293,아이엠바이오로직스,2562.0
294,더블유씨피,2559.0
295,페니트리움바이오,2554.0
296,유진기업,2551.0
297,큐에이드,2532.0
298,LB세미콘,2530.0
299,마녀공장,2523.0
300,오킨스전자,2495.0
301,골프존,2491.0
302,씨앤씨인터내셔널,2489.0
303,에이유브랜즈,2486.0
304,바이오다인,2485.0
305,콜마비앤에이치,2453.0
306,빛과전자,2440.0
307,서울바이오시스,2422.0
308,토비스,2400.0
309,스맥,2399.0
310,바디텍메드,2366.0
311,우주일렉트로,2352.0
312,헥토파이낸셜,2346.0
313,KH바텍,2339.0
314,노바렉스,2338.0
315,채비,2329.0
316,프로티나,2328.0
317,저스템,2328.0
318,비츠로넥스텍,2312.0
319,세나테크놀로지,2310.0
320,유니셈,2291.0
321,오이솔루션,2290.0
322,매커스,2288.0
323,코오롱생명과학,2256.0
324,한국캐피탈,2247.0
325,피에이치에이,2243.0
326,폰드그룹,2240.0
327,바이오플러스,2225.0
328,소룩스,2214.0
329,세보엠이씨,2214.0
330,아스테라시스,2205.0
331,상아프론테크,2205.0
332,DXVX,2200.0
333,서호전기,2194.0
334,LIG아큐버,2194.0
335,바이넥스,2190.0
336,에치에프알,2189.0
337,필에너지,2186.0
338,아모텍,2185.0
339,유니슨,2182.0
340,아이스크림미디어,2181.0
341,케이티알파,2179.0
342,에프앤가이드,2176.0
343,GRT,2168.0
344,오리엔탈정공,2167.0
345,대원산업,2166.0
346,케이엔제이,2151.0
347,칩스앤미디어,2148.0
348,에스엔시스,2147.0
349,미래나노텍,2146.0
350,강원에너지,2142.0
351,코텍,2142.0
352,삼목에스폼,2142.0
353,한선엔지니어링,2136.0
354,사피엔반도체,2122.0
355,흥구석유,2120.0
356,지씨셀,2116.0
357,미래반도체,2102.0
358,비츠로테크,2101.0
359,에스바이오메딕스,2101.0
360,데브시스터즈,2097.0
361,네오티스,2097.0
362,에스비비테크,2089.0
363,에코아이,2086.0
364,듀켐바이오,2083.0
365,덕양에너젠,2071.0
366,옵티코어,2067.0
367,RF머트리얼즈,2064.0
368,이지바이오,2064.0
369,오로라,2063.0
370,디지털대성,2062.0
371,아스트,2059.0
372,리파인,2057.0
373,이노스페이스,2049.0
374,아이씨티케이,2046.0
375,에이직랜드,2045.0
376,뷰웍스,2037.0
377,강스템바이오텍,2032.0
378,DSC인베스트먼트,2027.0
